Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Grid-Enabled Adaptive Metamodeling and Active Learning for Computer Based Design","Advances in Artificial Intelligence","","","","10.1007/978-3-642-01818-3_39","Dirk Gorissen","2009","http://link.springer.com/chapter/10.1007/978-3-642-01818-3_39","Chapter"
"Metamodeling of Deteriorating Reusable Articles in a Closed Loop Supply Chain","Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","","","","10.1007/978-3-030-85874-2_21","Eoin GlennaneJohn Geraghty","2021","http://link.springer.com/chapter/10.1007/978-3-030-85874-2_21","Chapter"
"Metamodeling: More Applications","System Design Modeling and Metamodeling","","","","10.1007/978-1-4899-0676-2_13","John P. van Gigch","1991","http://link.springer.com/chapter/10.1007/978-1-4899-0676-2_13","Chapter"
"Metamodeling: The epistemology of system science","Systems practice","","6","3","10.1007/BF01059724","John P. van Gigch","1993","http://link.springer.com/article/10.1007/BF01059724","Article"
"A metamodeling approach for the identification of organizational smells in multi-agent systems: application to ASPECS","Artificial Intelligence Review","","49","2","10.1007/s10462-016-9521-7","Pedro AraujoSebastián RodríguezVincent Hilaire","2018","http://link.springer.com/article/10.1007/s10462-016-9521-7","Article"
"An Experimental and Metamodeling Approach to Tensile Properties of Natural Fibers Composites","Journal of Polymers and the Environment","","30","10","10.1007/s10924-022-02514-1","Mohamad AlhijaziBabak SafaeiQasim ZeeshanMohammed AsmaelMohammad HarbZhaoye Qin","2022","http://link.springer.com/article/10.1007/s10924-022-02514-1","Article"
"An Artificial Neural Network Based Simulation Metamodeling Approach for Dual Resource Constrained Assembly Line","Artificial Neural Networks – ICANN 2006","","","","10.1007/11840930_104","Gokalp YildizOzgur Eski","2006","http://link.springer.com/chapter/10.1007/11840930_104","Chapter"
"A Metamodeling and Transformation Approach for Knowledge Extraction","Networked Digital Technologies","","","","10.1007/978-3-642-30567-2_6","Inaya LahoudDavy MonticoloVincent HilaireSamuel Gomes","2012","http://link.springer.com/chapter/10.1007/978-3-642-30567-2_6","Chapter"
"Metamodeling and Machine Learning","Aging, Shaking, and Cracking of Infrastructures","","","","10.1007/978-3-030-57434-5_20","Victor E. SaoumaM. Amin Hariri-Ardebili","2021","http://link.springer.com/chapter/10.1007/978-3-030-57434-5_20","Chapter"
"Context Modeling and Metamodeling: A State of the Art","Proceedings of the Mediterranean Conference on Information & Communication Technologies 2015","","","","10.1007/978-3-319-30298-0_30","Zineb AarabRajaa SaidiMoulay Driss Rahmani","2016","http://link.springer.com/chapter/10.1007/978-3-319-30298-0_30","Chapter"
"Neuroevolutionary Approach to Metamodeling of Production-Inventory Systems with Lost-Sales and Markovian Demand","Reliability and Statistics in Transportation and Communication","","","","10.1007/978-3-030-44610-9_10","Ilya Jackson","2020","http://link.springer.com/chapter/10.1007/978-3-030-44610-9_10","Chapter"
"Conceptual Graphs and Metamodeling","Conceptual Structures: Broadening the Base","","","","10.1007/3-540-44583-8_18","Olivier GerbéGuy W. MineauRudolf K. Keller","2001","http://link.springer.com/chapter/10.1007/3-540-44583-8_18","Chapter"
"Physics-informed machine learning for metamodeling thermal comfort in non-air-conditioned buildings","Building Simulation","","","","10.1007/s12273-022-0931-y","Issa Jaffal","2022","http://link.springer.com/article/10.1007/s12273-022-0931-y","Article"
"The Modelica Object-Oriented Equation-Based Language and Its OpenModelica Environment with MetaModeling, Interoperability, and Parallel Execution","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-17319-6_4","Peter Fritzson","2010","http://link.springer.com/chapter/10.1007/978-3-642-17319-6_4","Chapter"
"Conceptual Graphs, Metamodeling, and Notation of Concepts","Conceptual Structures: Logical, Linguistic, and Computational Issues","","","","10.1007/10722280_11","Olivier GerbéGuy W. MineauRudolf K. Keller","2000","http://link.springer.com/chapter/10.1007/10722280_11","Chapter"
"Credit Risk Analysis with a SVM-based Metamodeling Ensemble Approach","Bio-Inspired Credit Risk Analysis","","","","10.1007/978-3-540-77803-5_9","","2008","http://link.springer.com/chapter/10.1007/978-3-540-77803-5_9","Chapter"
"Metamodeling and multicriteria analysis for sustainable and passive residential building refurbishment: A case study of French housing stock","Building Simulation","","15","3","10.1007/s12273-021-0806-7","Zaid RomaniAbdeslam DraouiFrancis Allard","2022","http://link.springer.com/article/10.1007/s12273-021-0806-7","Article"
"A retrospective on Telos as a metamodeling language for requirements engineering","Requirements Engineering","","26","1","10.1007/s00766-020-00329-x","Manolis KoubarakisAlexander BorgidaPanos ConstantopoulosMartin DoerrMatthias JarkeManfred A. JeusfeldJohn MylopoulosDimitris Plexousakis","2021","http://link.springer.com/article/10.1007/s00766-020-00329-x","Article"
"From Business Engineering to Digital Engineering: The Role of Metamodeling in Digital Transformation","Engineering the Transformation of the Enterprise","","","","10.1007/978-3-030-84655-8_4","Susanne LeistDimitris KaragiannisFlorian JohannsenHans-Gert Penzel","2021","http://link.springer.com/chapter/10.1007/978-3-030-84655-8_4","Chapter"
"Integrated Metamodeling and Diagnosis in OWL 2","The Semantic Web – ISWC 2010","","","","10.1007/978-3-642-17746-0_17","Birte GlimmSebastian RudolphJohanna Völker","2010","http://link.springer.com/chapter/10.1007/978-3-642-17746-0_17","Chapter"
"Identification of Material Models of Nanocoatings System Using the Metamodeling Approach","System Modeling and Optimization","","","","10.1007/978-3-642-04802-9_18","Magdalena KopernikAndrzej StanisławczykJan KusiakMaciej Pietrzyk","2009","http://link.springer.com/chapter/10.1007/978-3-642-04802-9_18","Chapter"
"Formalism-Independent Specification of Ontology Mappings – A Metamodeling Approach","On the Move to Meaningful Internet Systems 2006: CoopIS, DOA, GADA, and ODBASE","","","","10.1007/11914853_56","Saartje BrockmansPeter HaaseHeiner Stuckenschmidt","2006","http://link.springer.com/chapter/10.1007/11914853_56","Chapter"
"Project Management in Small-Sized Software Enterprises: A Metamodeling-Based Approach","Trends and Applications in Software Engineering","","","","10.1007/978-3-319-26285-7_1","I. GarciaC. PachecoM. ArcillaN. Sanchez","2016","http://link.springer.com/chapter/10.1007/978-3-319-26285-7_1","Chapter"
"Quasi-Monte Carlo and RBF Metamodeling for Quantile Estimation in River Bed Morphodynamics","Simulation and Modeling Methodologies, Technologies and Applications","","","","10.1007/978-3-319-11457-6_15","Tanja CleesIgor NikitinLialia NikitinaSabine Pott","2015","http://link.springer.com/chapter/10.1007/978-3-319-11457-6_15","Chapter"
"Self-Organizing-Map-Based Metamodeling for Massive Text Data Exploration","Advances in Neural Networks - ISNN 2006","","","","10.1007/11759966_187","Kin Keung LaiLean YuLigang ZhouShouyang Wang","2006","http://link.springer.com/chapter/10.1007/11759966_187","Chapter"
"Engineering Semantic Composability Based on Ontological Metamodeling","Simulation Tools and Techniques","","","","10.1007/978-3-030-72792-5_46","Zhi ZhuNing ZhuYongling LeiQun LiHuabing Wang","2021","http://link.springer.com/chapter/10.1007/978-3-030-72792-5_46","Chapter"
"Advanced Metamodeling Techniques Applied to Multidimensional Applications with Piecewise Responses","Machine Learning, Optimization, and Big Data","","","","10.1007/978-3-319-27926-8_9","Toufik Al KhawliUrs EppeltWolfgang Schulz","2015","http://link.springer.com/chapter/10.1007/978-3-319-27926-8_9","Chapter"
"Pareto-Based Multi-output Metamodeling with Active Learning","Engineering Applications of Neural Networks","","","","10.1007/978-3-642-03969-0_36","Dirk GorissenIvo CouckuytEric LaermansTom Dhaene","2009","http://link.springer.com/chapter/10.1007/978-3-642-03969-0_36","Chapter"
"Ladder Metamodeling and PLC Program Validation through Time Petri Nets","Model Driven Architecture – Foundations and Applications","","","","10.1007/978-3-540-69100-6_9","Darlam Fabio BenderBenoît CombemaleXavier CrégutJean Marie FarinesBernard BerthomieuFrançois Vernadat","2008","http://link.springer.com/chapter/10.1007/978-3-540-69100-6_9","Chapter"
