Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The next evolution of MDE: a seamless integration of machine learning into domain modeling","Software & Systems Modeling","","18","2","10.1007/s10270-017-0600-2","Thomas HartmannAssaad MoawadFrancois FouquetYves Le Traon","2019","http://link.springer.com/article/10.1007/s10270-017-0600-2","Article"
"Support Cloud SLA Establishment Using MDE","Cloud Computing and Big Data: Technologies, Applications and Security","","","","10.1007/978-3-319-97719-5_12","Mahmoud El HamlaouiTarik FissaaYouness LaghouaoutaMahmoud Nassar","2019","http://link.springer.com/chapter/10.1007/978-3-319-97719-5_12","Chapter"
"An MDE-SOA Approach to Support Plastic User Interfaces in Ambient Spaces","Universal Access in Human-Computer Interaction. Ambient Interaction","","","","10.1007/978-3-540-73281-5_7","J. CoutazL. BalmeX. AlvaroG. CalvaryA. DemeureJ. -S. Sottet","2007","http://link.springer.com/chapter/10.1007/978-3-540-73281-5_7","Chapter"
"Limitations of the Wasserstein MDE for univariate data","Statistics and Computing","","32","6","10.1007/s11222-022-10146-7","Yannis G. Yatracos","2022","http://link.springer.com/article/10.1007/s11222-022-10146-7","Article"
"Understanding MDE projects: megamodels to the rescue for architecture recovery","Software and Systems Modeling","","19","2","10.1007/s10270-019-00748-7","Juri Di RoccoDavide Di RuscioJohannes HärtelLudovico IovinoRalf LämmelAlfonso Pierantonio","2020","http://link.springer.com/article/10.1007/s10270-019-00748-7","Article"
"Synergies of MDE, Simulation, and Agent Technology","Distributed Simulation","","","","10.1007/978-3-319-03050-0_11","Okan TopçuUmut DurakHalit OğuztüzünLevent Yilmaz","2016","http://link.springer.com/chapter/10.1007/978-3-319-03050-0_11","Chapter"
"INCREMENT: A Mixed MDE-IR Approach for Regulatory Requirements Modeling and Analysis","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-05843-6_11","Nicolas SannierBenoit Baudry","2014","http://link.springer.com/chapter/10.1007/978-3-319-05843-6_11","Chapter"
"The B Method Meets MDE: Review, Progress and Future","Research Challenges in Information Science","","","","10.1007/978-3-031-05760-1_29","Akram Idani","2022","http://link.springer.com/chapter/10.1007/978-3-031-05760-1_29","Chapter"
