Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Design of a DSL for Converting Rust Programming Language into RTL","Advances in Internet, Data and Web Technologies","","","","10.1007/978-3-030-39746-3_36","Keisuke TakanoTetsuya OdaMasaki Kohata","2020","http://link.springer.com/chapter/10.1007/978-3-030-39746-3_36","Chapter"
"Towards DSL for DL Lifecycle Data Management","Databases and Information Systems","","","","10.1007/978-3-030-57672-1_16","Edgars CelmsJanis BarzdinsAudris KalninsArturs SprogisMikus GrasmanisSergejs RikacovsPaulis Barzdins","2020","http://link.springer.com/chapter/10.1007/978-3-030-57672-1_16","Chapter"
"DSL Based Automatic Generation of Q&A Systems","New Knowledge in Information Systems and Technologies","","","","10.1007/978-3-030-16181-1_44","Renato Preigschadt de AzevedoMaria João Varanda PereiraPedro Rangel Henriques","2019","http://link.springer.com/chapter/10.1007/978-3-030-16181-1_44","Chapter"
"Towards a DSL for AI Engineering Process Modeling","Product-Focused Software Process Improvement","","","","10.1007/978-3-031-21388-5_4","Sergio MoralesRobert ClarisóJordi Cabot","2022","http://link.springer.com/chapter/10.1007/978-3-031-21388-5_4","Chapter"
