Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning: application to vehicle crash safety","Structural and Multidisciplinary Optimization","","65","7","10.1007/s00158-022-03290-1","Yeongmin YooChang-Kyu ParkJongsoo Lee","2022","http://link.springer.com/article/10.1007/s00158-022-03290-1","Article"
"Neuroevolutionary Approach to Metamodeling of Production-Inventory Systems with Lost-Sales and Markovian Demand","Reliability and Statistics in Transportation and Communication","","","","10.1007/978-3-030-44610-9_10","Ilya Jackson","2020","http://link.springer.com/chapter/10.1007/978-3-030-44610-9_10","Chapter"
"An Experimental and Metamodeling Approach to Tensile Properties of Natural Fibers Composites","Journal of Polymers and the Environment","","30","10","10.1007/s10924-022-02514-1","Mohamad AlhijaziBabak SafaeiQasim ZeeshanMohammed AsmaelMohammad HarbZhaoye Qin","2022","http://link.springer.com/article/10.1007/s10924-022-02514-1","Article"
"Metamodeling-based simulation optimization in manufacturing problems: a comparative study","The International Journal of Advanced Manufacturing Technology","","120","7 - 8","10.1007/s00170-022-09072-9","João Victor Soares do AmaralRafael de Carvalho MirandaJosé Arnaldo Barra MontevechiCarlos Henrique dos SantosGustavo Teodoro Gabriel","2022","http://link.springer.com/article/10.1007/s00170-022-09072-9","Article"
"Physics-informed machine learning for metamodeling thermal comfort in non-air-conditioned buildings","Building Simulation","","","","10.1007/s12273-022-0931-y","Issa Jaffal","2022","http://link.springer.com/article/10.1007/s12273-022-0931-y","Article"
"Towards Interoperable Metamodeling Platforms: The Case of Bridging ADOxx and EMF","Advanced Information Systems Engineering","","","","10.1007/978-3-031-07472-1_28","Dominik BorkKonstantinos AnagnostouManuel Wimmer","2022","http://link.springer.com/chapter/10.1007/978-3-031-07472-1_28","Chapter"
