Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ModelSet: a dataset for machine learning in model-driven engineering","Software and Systems Modeling","","21","3","10.1007/s10270-021-00929-3","José Antonio Hernández LópezJavier Luis Cánovas IzquierdoJesús Sánchez Cuadrado","2022","http://link.springer.com/article/10.1007/s10270-021-00929-3","Article"
"Guest editorial to the theme section on AI-enhanced model-driven engineering","Software and Systems Modeling","","21","3","10.1007/s10270-022-00988-0","Lola BurgueñoJordi CabotManuel WimmerSteffen Zschaler","2022","http://link.springer.com/article/10.1007/s10270-022-00988-0","Article"
"Recommender systems in model-driven engineering","Software and Systems Modeling","","21","1","10.1007/s10270-021-00905-x","Lissette AlmonteEsther GuerraIván CantadorJuan de Lara","2022","http://link.springer.com/article/10.1007/s10270-021-00905-x","Article"
"Grand challenges in model-driven engineering: an analysis of the state of the research","Software and Systems Modeling","","19","1","10.1007/s10270-019-00773-6","Antonio BucchiaroneJordi CabotRichard F. PaigeAlfonso Pierantonio","2020","http://link.springer.com/article/10.1007/s10270-019-00773-6","Article"
"On the Need for Data-Based Model-Driven Engineering","Security and Quality in Cyber-Physical Systems Engineering","","","","10.1007/978-3-030-25312-7_5","Alexandra MazakSabine WolnyManuel Wimmer","2019","http://link.springer.com/chapter/10.1007/978-3-030-25312-7_5","Chapter"
"A survey on search-based model-driven engineering","Automated Software Engineering","","24","2","10.1007/s10515-017-0215-4","Ilhem BoussaïdPatrick SiarryMohamed Ahmed-Nacer","2017","http://link.springer.com/article/10.1007/s10515-017-0215-4","Article"
"Type Inference in Flexible Model-Driven Engineering","Modelling Foundations and Applications","","","","10.1007/978-3-319-21151-0_6","Athanasios ZolotasNicholas MatragkasSam DevlinDimitrios S. KolovosRichard F. Paige","2015","http://link.springer.com/chapter/10.1007/978-3-319-21151-0_6","Chapter"
"Schema Matching in the Context of Model Driven Engineering: From Theory to Practice","Advances in Systems, Computing Sciences and Software Engineering","","","","10.1007/1-4020-5263-4_36","Denivaldo LopesSlimane HammoudiZair Abdelouahab","2006","http://link.springer.com/chapter/10.1007/1-4020-5263-4_36","Chapter"
"A framework for Model-Driven Engineering of resilient software-controlled systems","Computing","","103","4","10.1007/s00607-020-00841-6","Jacopo ParriFulvio PataraSamuele SampietroEnrico Vicario","2021","http://link.springer.com/article/10.1007/s00607-020-00841-6","Article"
"A Model-Driven Engineering Approach for the Usability of Plastic User Interfaces","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_9","Jean-Sébastien SottetGaëlle CalvaryJoëlle CoutazJean-Marie Favre","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_9","Chapter"
"Type inference in flexible model-driven engineering using classification algorithms","Software & Systems Modeling","","18","1","10.1007/s10270-018-0658-5","Athanasios ZolotasNicholas MatragkasSam DevlinDimitrios S. KolovosRichard F. Paige","2019","http://link.springer.com/article/10.1007/s10270-018-0658-5","Article"
"Model Driven Engineering: An Emerging Technical Space","Generative and Transformational Techniques in Software Engineering","","","","10.1007/11877028_2","Jean Bézivin","2006","http://link.springer.com/chapter/10.1007/11877028_2","Chapter"
"Model-Driven Engineering and Optimizing Compilers: A Bridge Too Far?","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_45","Antoine FlochTomofumi YukiClement GuySteven DerrienBenoit CombemaleSanjay RajopadhyeRobert B. France","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_45","Chapter"
"Generation of Adapted Learning Game Scenarios: A Model-Driven Engineering Approach","Computer Supported Education","","","","10.1007/978-3-030-21151-6_6","Pierre LaforcadeYouness Laghouaouta","2019","http://link.springer.com/chapter/10.1007/978-3-030-21151-6_6","Chapter"
"A model-driven engineering approach for the service integration of IoT systems","Cluster Computing","","23","3","10.1007/s10586-020-03150-x","Darwin AlulemaJavier CriadoLuis IribarneAntonio Jesús Fernández-GarcíaRosa Ayala","2020","http://link.springer.com/article/10.1007/s10586-020-03150-x","Article"
"Low-code development and model-driven engineering: Two sides of the same coin?","Software and Systems Modeling","","21","2","10.1007/s10270-021-00970-2","Davide Di RuscioDimitris KolovosJuan de LaraAlfonso PierantonioMassimo TisiManuel Wimmer","2022","http://link.springer.com/article/10.1007/s10270-021-00970-2","Article"
"Complexity is the Only Constant: Trends in Computing and Their Relevance to Model Driven Engineering","Graph Transformation","","","","10.1007/978-3-319-40530-8_1","Juergen Dingel","2016","http://link.springer.com/chapter/10.1007/978-3-319-40530-8_1","Chapter"
"Towards Integrated Model-Driven Engineering Approach to Business Intelligence","Research Challenges in Information Science","","","","10.1007/978-3-031-05760-1_38","Corentin BurnayBenito Giunta","2022","http://link.springer.com/chapter/10.1007/978-3-031-05760-1_38","Chapter"
