Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Domain-Specific Language for Model-Driven Development of Networked Electronic Travel Aid Systems","HCI International 2021 - Late Breaking Posters","","","","10.1007/978-3-030-90179-0_8","Florian von ZabienskyChristian LoosenMichael KreutzerDiethelm Bienhaus","2021","http://link.springer.com/chapter/10.1007/978-3-030-90179-0_8","Chapter"
"Modelling and Prototyping of Business Applications Based on Multilevel Domain-Specific Language","Enterprise and Organizational Modeling and Simulation","","","","10.1007/978-3-642-24175-8_13","Robert Pergl","2011","http://link.springer.com/chapter/10.1007/978-3-642-24175-8_13","Chapter"
"RSL-IL4Privacy: a domain-specific language for the rigorous specification of privacy policies","Requirements Engineering","","24","1","10.1007/s00766-018-0305-2","João CaramujoAlberto Rodrigues da SilvaShaghayegh MonfaredAndré RibeiroPável CaladoTravis Breaux","2019","http://link.springer.com/article/10.1007/s00766-018-0305-2","Article"
"Formalizing a Domain Specific Language Using SOS: An Industrial Case Study","Software Language Engineering","","","","10.1007/978-3-642-28830-2_13","Frank P. M. StappersSven WeberMichel A. ReniersSuzana AndovaIstvan Nagy","2012","http://link.springer.com/chapter/10.1007/978-3-642-28830-2_13","Chapter"
"An empirical evaluation of a novel domain-specific language – modelling vehicle routing problems with Athos","Empirical Software Engineering","","27","7","10.1007/s10664-022-10210-w","Benjamin HoffmannNeil UrquhartKevin ChalmersMichael Guckert","2022","http://link.springer.com/article/10.1007/s10664-022-10210-w","Article"
"Hume: A Domain-Specific Language for Real-Time Embedded Systems","Generative Programming and Component Engineering","","","","10.1007/978-3-540-39815-8_3","Kevin HammondGreg Michaelson","2003","http://link.springer.com/chapter/10.1007/978-3-540-39815-8_3","Chapter"
"Bossa Nova: Introducing Modularity into the Bossa Domain-Specific Language","Generative Programming and Component Engineering","","","","10.1007/11561347_7","Julia L. LawallHervé DuchesneGilles MullerAnne-Françoise Le Meur","2005","http://link.springer.com/chapter/10.1007/11561347_7","Chapter"
"EriLex: An Embedded Domain Specific Language Generator","Objects, Models, Components, Patterns","","","","10.1007/978-3-642-13953-6_11","Hao Xu","2010","http://link.springer.com/chapter/10.1007/978-3-642-13953-6_11","Chapter"
"WebDSL: A Case Study in Domain-Specific Language Engineering","Generative and Transformational Techniques in Software Engineering II","","","","10.1007/978-3-540-88643-3_7","Eelco Visser","2008","http://link.springer.com/chapter/10.1007/978-3-540-88643-3_7","Chapter"
"A Domain-Specific Language for Software-Defined Radio","Practical Aspects of Declarative Languages","","","","10.1007/978-3-319-51676-9_12","Geoffrey Mainland","2017","http://link.springer.com/chapter/10.1007/978-3-319-51676-9_12","Chapter"
"Optimizing a Geomodeling Domain Specific Language","Programming Languages","","","","10.1007/978-3-642-33182-4_8","Bruno Morais FerreiraFernando Magno Quintão PereiraHermann RodriguesBritaldo Silveira Soares-Filho","2012","http://link.springer.com/chapter/10.1007/978-3-642-33182-4_8","Chapter"
