Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"RAIL: A Domain-Specific Language for Generating NPC Behaviors in Action/Adventure Game","Advances in Computer Entertainment Technology","","","","10.1007/978-3-319-76270-8_58","Meng ZhuAlf Inge Wang","2018","http://link.springer.com/chapter/10.1007/978-3-319-76270-8_58","Chapter"
"An Extensible Domain-Specific Language for Describing Problem-Solving Procedures","Artificial Intelligence in Education","","","","10.1007/978-3-319-61425-0_7","Bastiaan HeerenJohan Jeuring","2017","http://link.springer.com/chapter/10.1007/978-3-319-61425-0_7","Chapter"
"Domain Specific Language and Translator for Cellular Automata Models of Physico-Chemical Processes","Parallel Computing Technologies","","","","10.1007/978-3-642-23178-0_14","Konstantin Kalgin","2011","http://link.springer.com/chapter/10.1007/978-3-642-23178-0_14","Chapter"
"Efficient Code Generation for a Domain Specific Language","Generative Programming and Component Engineering","","","","10.1007/11561347_5","Andrew MossHenk Muller","2005","http://link.springer.com/chapter/10.1007/11561347_5","Chapter"
"Propagation engine prototyping with a domain specific language","Constraints","","19","1","10.1007/s10601-013-9151-5","Charles Prud’hommeXavier LorcaRémi DouenceNarendra Jussien","2014","http://link.springer.com/article/10.1007/s10601-013-9151-5","Article"
