Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ModelSet: a dataset for machine learning in model-driven engineering","Software and Systems Modeling","","21","3","10.1007/s10270-021-00929-3","José Antonio Hernández LópezJavier Luis Cánovas IzquierdoJesús Sánchez Cuadrado","2022","http://link.springer.com/article/10.1007/s10270-021-00929-3","Article"
"Special issue on quality in model-driven engineering","Software Quality Journal","","24","3","10.1007/s11219-016-9327-5","Vasco AmaralMarjan Mernik","2016","http://link.springer.com/article/10.1007/s11219-016-9327-5","Article"
"Guest editorial to the theme section on AI-enhanced model-driven engineering","Software and Systems Modeling","","21","3","10.1007/s10270-022-00988-0","Lola BurgueñoJordi CabotManuel WimmerSteffen Zschaler","2022","http://link.springer.com/article/10.1007/s10270-022-00988-0","Article"
"Improved Model-Driven Engineering of User-Interfaces with Generative Macros","Universal Access in Human-Computer Interaction. Design and Development Methods for Universal Access","","","","10.1007/978-3-319-07437-5_14","Anthony SavidisYannis ValsamakisYannis Lilis","2014","http://link.springer.com/chapter/10.1007/978-3-319-07437-5_14","Chapter"
"Model Typing for Improving Reuse in Model-Driven Engineering","Model Driven Engineering Languages and Systems","","","","10.1007/11557432_7","Jim SteelJean-Marc Jézéquel","2005","http://link.springer.com/chapter/10.1007/11557432_7","Chapter"
"Using two case studies to explore the applicability of VIATRA for the model-driven engineering of mechatronic production systems","Software and Systems Modeling","","21","4","10.1007/s10270-021-00962-2","Gennadiy KoltunMathis Pundel","2022","http://link.springer.com/article/10.1007/s10270-021-00962-2","Article"
"Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges","Leveraging Applications of Formal Methods, Verification and Validation. Practice","","","","10.1007/978-3-031-19762-8_14","Hafiz Ahmad Awais ChaudharyIvan GuevaraJobish JohnAmandeep SinghAmrita GhosalDirk PeschTiziana Margaria","2022","http://link.springer.com/chapter/10.1007/978-3-031-19762-8_14","Chapter"
"Model-Driven Engineering from Modular Monadic Semantics: Implementation Techniques Targeting Hardware and Software","Domain-Specific Languages","","","","10.1007/978-3-642-03034-5_2","William L. HarrisonAdam M. ProcterJason AgronGarrin KimmellGerard Allwein","2009","http://link.springer.com/chapter/10.1007/978-3-642-03034-5_2","Chapter"
