Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The next evolution of MDE: a seamless integration of machine learning into domain modeling","Software & Systems Modeling","","18","2","10.1007/s10270-017-0600-2","Thomas HartmannAssaad MoawadFrancois FouquetYves Le Traon","2019","http://link.springer.com/article/10.1007/s10270-017-0600-2","Article"
"Multi-Domain Modeling and Simulation of Automotive Air Conditioning System Based On Modelica","Proceedings of the FISITA 2012 World Automotive Congress","","","","10.1007/978-3-642-33738-3_34","Jing LiYunqing ZhangWei Chen","2013","http://link.springer.com/chapter/10.1007/978-3-642-33738-3_34","Chapter"
"Towards AI Assisted Domain Modeling","Advances in Conceptual Modeling","","","","10.1007/978-3-030-88358-4_7","Christophe FeltusQin MaHenderik A. ProperPierre Kelsen","2021","http://link.springer.com/chapter/10.1007/978-3-030-88358-4_7","Chapter"
