Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Detecting Environmental, Social and Governance (ESG) Topics Using Domain-Specific Language Models and Data Augmentation","Flexible Query Answering Systems","","","","10.1007/978-3-030-86967-0_12","Tim NugentNicole SteleaJochen L. Leidner","2021","http://link.springer.com/chapter/10.1007/978-3-030-86967-0_12","Chapter"
"Semantic Approach to Verifying Activity Diagrams with a Domain Specific Language","Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity","","","","10.1007/978-3-642-35267-6_62","Chinnapat KaewchinpornYachai Limpiyakorn","2012","http://link.springer.com/chapter/10.1007/978-3-642-35267-6_62","Chapter"
"A Domain-Specific Language and Toolchain for Performance Evaluation Based on Measurements","Measurement, Modelling and Evaluation of Computing Systems","","","","10.1007/978-3-319-74947-1_21","Freek van den BergJozef HoomanBoudewijn R. Haverkort","2018","http://link.springer.com/chapter/10.1007/978-3-319-74947-1_21","Chapter"
"GeForMTjs: A JavaScript Library Based on a Domain Specific Language for Multi-touch Gestures","Web Engineering","","","","10.1007/978-3-642-31753-8_40","Dietrich KammerDana HenkensRainer Groh","2012","http://link.springer.com/chapter/10.1007/978-3-642-31753-8_40","Chapter"
"Integrating Domain Specific Language Design in the Software Life Cycle","Applied Formal Methods — FM-Trends 98","","","","10.1007/3-540-48257-1_12","Philipp W. KutterDaniel SchweizerLothar Thiele","1999","http://link.springer.com/chapter/10.1007/3-540-48257-1_12","Chapter"
"Named Entity Recognition and Normalization: A Domain-Specific Language Approach","2nd International Workshop on Practical Applications of Computational Biology and Bioinformatics (IWPACBB 2008)","","","","10.1007/978-3-540-85861-4_18","Miguel VazquezMonica ChagoyenAlberto Pascual-Montano","2009","http://link.springer.com/chapter/10.1007/978-3-540-85861-4_18","Chapter"
"fault: A Python Embedded Domain-Specific Language for Metaprogramming Portable Hardware Verification Components","Computer Aided Verification","","","","10.1007/978-3-030-53288-8_19","Lenny TruongSteven HerbstRajsekhar SetaluriMakai MannRoss DalyKeyi ZhangCaleb DonovickDaniel StanleyMark HorowitzClark BarrettPat Hanrahan","2020","http://link.springer.com/chapter/10.1007/978-3-030-53288-8_19","Chapter"
"Natural Semantics for Domain-Specific Language","New Trends in Database and Information Systems","","","","10.1007/978-3-030-85082-1_17","William SteingartnerValerie Novitzká","2021","http://link.springer.com/chapter/10.1007/978-3-030-85082-1_17","Chapter"
"Domain-Specific Language for Sensors in the Internet of Production","Production at the leading edge of technology","","","","10.1007/978-3-662-62138-7_45","M. BodenbennerM. P. SandersB. MontavonR. H. Schmitt","2021","http://link.springer.com/chapter/10.1007/978-3-662-62138-7_45","Chapter"
"E-Move: Domain Specific Language for People with Movement Disorders","Information and Communication Technologies","","","","10.1007/978-3-030-62833-8_36","Rafael Valencia-RamosLuis Zhinin-VeraOscar ChangIsrael Pineda","2020","http://link.springer.com/chapter/10.1007/978-3-030-62833-8_36","Chapter"
